224,,White non-Hispanic alone,"1,001",994,788,78.7,2.6,79.2,2.6,666,66.5,3.0,67.0,3.0
225,,Black alone,17,11,5,B,B,B,B,3,B,B,B,B
226,,Asian alone,20,17,6,B,B,B,B,6,B,B,B,B
227,,Hispanic (of any race),11,10,8,B,B,B,B,3,B,B,B,B
228,,White alone or in combination,"1,032","1,023",815,79.0,2.5,79.6,2.5,682,66.1,2.9,66.6,2.9
229,,Black alone or in combination,20,14,7,B,B,B,B,5,B,B,B,B
230,,Asian alone or in combination,20,17,6,B,B,B,B,6,B,B,B,B
231,MARYLAND,Total,"4,666","4,281","3,095",66.3,2.3,72.3,2.3,"2,320",49.7,2.5,54.2,2.6
232,,Male,"2,217","2,047","1,457",65.7,3.4,71.2,3.4,"1,107",49.9,3.6,54.1,3.7
233,,Female,"2,449","2,235","1,639",66.9,3.2,73.3,3.1,"1,213",49.5,3.4,54.3,3.5
234,,White alone,"2,800","2,635","2,021",72.2,2.8,76.7,2.8,"1,536",54.9,3.2,58.3,3.2
235,,White non-Hispanic alone,"2,466","2,421","1,869",75.8,2.9,77.2,2.9,"1,414",57.3,3.3,58.4,3.4
236,,Black alone,"1,414","1,293",856,60.5,5.3,66.2,5.3,630,44.5,5.4,48.7,5.6
237,,Asian alone,315,217,142,44.9,11.9,65.1,13.7,94,29.9,10.9,43.4,14.3
238,,Hispanic (of any race),500,328,195,39.0,11.5,59.5,14.3,158,31.7,11.0,48.3,14.6
239,,White alone or in combination,"2,874","2,708","2,064",71.8,2.8,76.2,2.7,"1,572",54.7,3.1,58.1,3.2
240,,Black alone or in combination,"1,467","1,346",887,60.5,5.2,65.9,5.2,651,44.4,5.3,48.4,5.5
241,,Asian alone or in combination,331,234,154,46.6,11.6,66.1,13.1,103,31.2,10.8,44.3,13.8
242,MASSACHUSETTS,Total,"5,460","4,919","3,345",61.3,2.2,68.0,2.2,"2,731",50.0,2.2,55.5,2.3
