256,.Hispanic (of any race),.Hispanic (of any race),68,30,(B),(B),19,(B),(B),16,(B),(B)
257,.White alone or in combination,.White alone or in combination,"2,272","2,223",97.8,0.9,"1,709",75.2,2.6,"1,453",64.0,2.9
258,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,"2,204","2,193",99.5,0.4,"1,690",76.7,2.6,"1,437",65.2,2.9
259,.Black alone or in combination ,.Black alone or in combination ,985,976,99.0,1.1,703,71.3,5.0,613,62.2,5.4
260,.Asian alone or in combination,.Asian alone or in combination,8,8,(B),(B),2,(B),(B),2,(B),(B)
262,.Total,MAINE-Total,"1,022","1,007",98.5,0.5,824,80.6,1.6,736,72.0,1.8
263,.Male,.Male,493,484,98.2,0.8,390,79.0,2.4,346,70.2,2.7
264,.Female,.Female,529,523,98.9,0.6,434,82.1,2.2,390,73.7,2.5
265,.White alone,.White alone,990,977,98.7,0.5,799,80.7,1.6,714,72.1,1.8
266,..White non-Hispanic alone,..White non-Hispanic alone,984,970,98.7,0.5,793,80.6,1.6,708,72.0,1.9
267,.Black alone,.Black alone,8,8,(B),(B),6,(B),(B),5,(B),(B)
268,.Asian alone,.Asian alone,9,7,(B),(B),6,(B),(B),5,(B),(B)
269,.Hispanic (of any race),.Hispanic (of any race),9,9,(B),(B),7,(B),(B),7,(B),(B)
270,.White alone or in combination,.White alone or in combination,"1,002",989,98.7,0.5,809,80.8,1.6,723,72.2,1.8
271,..White non-Hispanic alone or in combination,..White non-Hispanic alone or in combination,995,982,98.7,0.5,803,80.7,1.6,717,72.0,1.8
272,.Black alone or in combination ,.Black alone or in combination ,8,8,(B),(B),6,(B),(B),5,(B),(B)
273,.Asian alone or in combination,.Asian alone or in combination,9,8,(B),(B),6,(B),(B),5,(B),(B)
275,.Total,MARYLAND-Total,"4,043","3,678",91.0,1.2,"2,676",66.2,2.0,"2,413",59.7,2.1
