index,Categories,1994,1996,1998,2000,2002,2004,2006,2008,2010,2012,2014,2016,2018,2020
287,HISPANIC ORIGIN,28,31,251,90,14,70,33,74,48,103,60,219,112,218
288,WASHINGTON TOTAL,1826,2436,1905,2527,2097,2851,2346,3073,2692,3172,2390,3382,3234,3854
289,MALE,868,1157,897,1196,997,1343,1103,1439,1289,1491,1125,1525,1541,1806
290,FEMALE,958,1279,1008,1331,1099,1508,1243,1634,1403,1682,1265,1857,1693,2047
291,WHITE,1755,2306,31,2400,1974,2497,2132,2762,2479,2696,2088,3027,2736,3309
292,BLACK,25,38,1810,39,48,67,25,57,47,72,53,78,103,130
293,HISPANIC ORIGIN,19,50,16,59,34,44,63,148,77,139,95,219,204,261
294,WEST VIRGINIA TOTAL,475,715,503,732,507,798,513,741,581,690,484,723,610,773
295,MALE,235,321,228,341,249,367,245,350,266,332,236,335,294,379
296,FEMALE,240,393,274,390,257,431,268,392,315,358,248,388,316,395
297,WHITE,460,706,1,709,495,765,494,720,561,665,473,682,585,735
298,BLACK,13,8,491,22,10,20,11,19,18,19,5,24,12,18
299,HISPANIC ORIGIN,0,1,8,1,3,1,,5,2,4,3,3,4,8
300,WISCONSIN TOTAL,1808,2330,1905,2632,1999,3010,2352,2887,2258,3127,2343,3068,2776,3253
301,MALE,895,1130,912,1266,1005,1449,1102,1403,1059,1460,1140,1468,1328,1533
302,FEMALE,912,1200,994,1367,994,1561,1250,1484,1199,1667,1203,1600,1448,1720
303,WHITE,1755,2242,7,2496,1905,2816,2201,2682,2113,2854,2213,2897,2574,3008
304,BLACK,39,76,1833,91,70,133,89,145,89,178,93,92,110,114
305,HISPANIC ORIGIN,3,24,66,31,20,67,36,66,38,71,53,111,84,101
306,WYOMING TOTAL,212,230,188,219,198,247,199,250,190,247,172,277,220,280
307,MALE,102,110,93,105,92,122,94,118,94,118,85,139,107,132
308,FEMALE,110,120,95,114,106,126,105,132,96,129,87,138,113,147
309,WHITE,208,227,5,217,195,241,195,242,182,240,164,260,214,265
310,BLACK,2,,183,1,,1,,1,2,1,3,3,2,1
311,HISPANIC ORIGIN,5,6,0,6,7,10,9,7,6,8,6,12,13,21
